cust_num,category,balance,age,acct_num,opendt
20,high equity,2608.19444444444,80,130,15910
20,low  equity,3508.62777777778,80,131,15910
20,bonds,1508.22777777778,80,132,15910
20,low  equity,3366.11666666667,80,133,15910
21,Retire Date,29384.1388888889,66,134,17003
21,mon mkt,3063.32222222222,66,135,17814
22,high equity,2252.48333333333,61,136,15012
22,bonds,19822.4722222222,61,137,15848
22,bonds,46424.7777777778,61,138,15848
22,bonds,11764.9055555556,61,139,15848
22,low  equity,31712.4222222222,61,140,15848
22,low  equity,33140.6555555556,61,141,15848
22,high equity,21498.2833333333,61,142,15848
22,low  equity,25651.1277777778,61,143,15848
22,low  equity,2215.39444444444,61,144,15809
22,bonds,2989.56111111111,61,145,15809
22,mon mkt,47611.35,61,146,15812
22,high equity,3296.91666666667,61,147,14725
22,mon mkt,31239.8777777778,61,148,15812
22,bonds,2205.82777777778,61,149,15448
22,Retire Date,11840.0555555556,61,150,16741
22,high equity,11335.3611111111,61,151,17121
22,low  equity,18175.2833333333,61,152,17121
22,high equity,9513.95,61,153,17860
22,mon mkt,5428.99444444444,61,154,18260
23,low  equity,6104.34444444444,61,155,15319
23,low  equity,5049.90555555556,61,156,15319
23,low  equity,2986.80555555556,61,157,15859
23,low  equity,3034.73333333333,61,158,16377
23,low  equity,2855.44444444444,61,159,16377
23,low  equity,1782.77222222222,61,160,16994
23,mon mkt,4826.75555555556,61,161,17762
24,low  equity,13154.6555555556,79,162,16055
24,bonds,5200.53333333333,79,163,16055
24,bonds,21218.1833333333,79,164,14724
24,mon mkt,115299.1,79,165,16755
24,mon mkt,5969.06111111111,79,166,16813
24,bonds,5179.84444444444,79,167,18015
25,mon mkt,9271.10555555556,74,168,17958
25,low  equity,7888.41666666667,74,169,18108
25,low  equity,2472.43888888889,74,170,18108
26,mon mkt,12818.5222222222,64,171,12179
27,bonds,49780.3944444444,70,172,12017
27,bonds,26628.0833333333,70,173,12017
27,bonds,88113.0166666667,70,174,12025
27,intl equity,32196.7777777778,70,175,12037
27,high equity,52936.2333333333,70,176,12066
27,high equity,35529.1833333333,70,177,12066
27,bonds,212320.111111111,70,178,12193
27,high equity,59286.1777777778,70,179,12193
27,intl equity,77361.7722222222,70,180,12193
27,low  equity,8861.43333333333,70,181,12318
27,intl equity,9928.36111111111,70,182,12360
27,low  equity,71804.75,70,183,12696
